,time,temperature_2m,relative_humidity_2m,pressure_msl,wind_speed_10m,precipitation
367,2024-11-25T07:00,10.4,93,1003.8,10.2,0.4
368,2024-11-25T08:00,10.4,93,1005.1,12.7,0.1
369,2024-11-25T09:00,10.7,93,1006.1,12.6,0.0
370,2024-11-25T10:00,11.3,90,1006.7,13.1,0.0
371,2024-11-25T11:00,12.3,82,1007.4,13.6,0.0
372,2024-11-25T12:00,12.9,71,1007.9,16.8,0.0
373,2024-11-25T13:00,11.9,81,1008.8,11.5,0.0
374,2024-11-25T14:00,12.2,79,1009.2,9.7,0.1
375,2024-11-25T15:00,11.1,86,1010.0,10.5,1.6
376,2024-11-25T16:00,10.3,84,1011.0,6.9,0.2
377,2024-11-25T17:00,9.7,91,1011.6,7.3,0.5
378,2024-11-25T18:00,8.8,94,1012.4,6.1,0.0
379,2024-11-25T19:00,7.4,96,1013.0,5.2,0.0
380,2024-11-25T20:00,7.4,97,1013.8,7.5,0.0
381,2024-11-25T21:00,7.1,97,1014.6,7.4,0.0
382,2024-11-25T22:00,6.7,97,1015.1,6.7,0.0
383,2024-11-25T23:00,6.1,98,1015.6,6.4,0.0
384,2024-11-26T00:00,5.9,98,1015.8,7.3,0.0
385,2024-11-26T01:00,5.8,97,1016.5,7.7,0.0
386,2024-11-26T02:00,5.7,97,1016.9,7.5,0.0
387,2024-11-26T03:00,5.5,97,1017.3,8.0,0.0
388,2024-11-26T04:00,5.3,97,1017.5,7.9,0.0
389,2024-11-26T05:00,5.2,97,1017.6,8.7,0.0
390,2024-11-26T06:00,5.3,97,1017.8,10.6,0.0
391,2024-11-26T07:00,5.6,96,1018.0,11.1,0.0
392,2024-11-26T08:00,5.9,95,1018.4,11.2,0.0
393,2024-11-26T09:00,7.2,93,1019.2,10.8,0.0
394,2024-11-26T10:00,8.9,92,1019.7,8.3,0.0
395,2024-11-26T11:00,10.5,88,1019.6,7.8,0.0
396,2024-11-26T12:00,11.7,84,1019.3,7.9,0.0
397,2024-11-26T13:00,12.6,81,1019.1,11.2,0.0
398,2024-11-26T14:00,12.8,78,1018.7,11.2,0.0
399,2024-11-26T15:00,12.5,79,1018.7,11.6,0.1
400,2024-11-26T16:00,11.4,84,1018.6,11.2,0.0
401,2024-11-26T17:00,10.7,87,1018.5,13.0,0.0
402,2024-11-26T18:00,10.9,88,1018.0,14.4,0.5
403,2024-11-26T19:00,10.5,92,1017.8,16.6,0.0
404,2024-11-26T20:00,10.6,93,1017.7,18.9,1.6
405,2024-11-26T21:00,10.8,94,1017.4,20.7,0.2
406,2024-11-26T22:00,11.3,93,1016.9,23.5,0.0
407,2024-11-26T23:00,11.6,94,1016.1,25.2,1.5
408,2024-11-27T00:00,11.9,91,1015.7,27.6,0.7
409,2024-11-27T01:00,12.3,90,1015.3,27.1,0.1
410,2024-11-27T02:00,12.2,88,1015.1,29.4,0.3
411,2024-11-27T03:00,11.7,91,1014.6,26.3,2.4
412,2024-11-27T04:00,12.2,89,1013.8,30.4,0.6
413,2024-11-27T05:00,12.5,91,1013.4,28.0,0.2
414,2024-11-27T06:00,13.0,93,1013.4,24.1,0.0
415,2024-11-27T07:00,13.2,94,1013.6,21.7,0.0
416,2024-11-27T08:00,13.3,93,1014.2,18.3,0.0
417,2024-11-27T09:00,13.8,93,1014.4,17.6,0.5
418,2024-11-27T10:00,14.3,95,1014.9,19.7,0.6
419,2024-11-27T11:00,14.9,92,1015.4,18.4,0.1
420,2024-11-27T12:00,15.3,88,1015.3,23.0,0.2
421,2024-11-27T13:00,15.8,84,1015.3,18.5,0.2
422,2024-11-27T14:00,15.5,85,1015.6,13.3,0.0
423,2024-11-27T15:00,14.9,88,1016.5,11.1,0.2
424,2024-11-27T16:00,14.2,90,1017.1,9.0,0.2
425,2024-11-27T17:00,12.7,89,1018.3,12.8,0.1
426,2024-11-27T18:00,11.4,89,1018.9,8.6,0.1
427,2024-11-27T19:00,11.1,90,1019.7,6.8,0.1
428,2024-11-27T20:00,11.0,90,1020.0,7.8,0.1
429,2024-11-27T21:00,10.6,91,1020.6,8.5,0.0
